gene_id,DRR316901,DRR316902,DRR316903,DRR316904,DRR316905,DRR316906
gene-ptpra|ptpra,0,0,0,0,0,0
gene-maea|maea,0,0,0,0,0,0
gene-add1|add1,0,0,0,0,0,0
gene-dok7|dok7,0,0,0,0,0,0
gene-cpeb2|cpeb2,15,27,8,18,19,14
gene-lcorl|lcorl,0,0,0,0,0,0
gene-dhx15|dhx15,28,0,25,23,14,41
gene-ctbp1|ctbp1,0,0,0,0,0,0
gene-ppargc1a|ppargc1a,0,0,0,0,0,0
gene-slit2|slit2,0,0,0,0,0,0
gene-mir218-1|mir218-1,0,0,0,0,0,0
gene-LOC105945533|LOC105945533,0,0,0,0,0,0
gene-klf3|klf3,0,0,0,0,0,0
gene-apbb2|apbb2,0,0,0,0,0,0
gene-chic2|chic2,0,0,0,0,0,0
gene-pdgfra|pdgfra,0,0,0,0,0,0
gene-slc25a4|slc25a4,0,0,0,0,0,0
gene-slc7a2.1|slc7a2.1,0,0,0,0,0,0
gene-stox2|stox2,0,0,0,0,0,0
gene-fat1|fat1,0,0,0,0,0,51
gene-fryl|fryl,0,0,0,0,0,0
gene-hmgb2|hmgb2,0,0,0,0,0,0
gene-rapgef2|rapgef2,0,0,0,0,0,0
gene-tenm3|tenm3,0,0,0,0,0,0
gene-fbxw7|fbxw7,14,12,9,0,0,0
gene-gria2|gria2,37,30,22,35,31,45
gene-sfrp2|sfrp2,0,0,0,0,0,0
gene-hand2|hand2,0,0,0,0,0,0
gene-vegfc|vegfc,0,0,0,0,0,0
gene-sh3d19|sh3d19,0,0,0,0,0,0
gene-pcdh10|pcdh10,0,0,0,0,0,0
gene-naa15|naa15,0,0,0,0,0,0
gene-elf2|elf2,0,0,0,0,0,0
gene-hhip|hhip,0,0,0,0,0,0
gene-fat4|fat4,0,0,0,0,0,0
gene-LOC116410922|LOC116410922,0,0,0,0,0,0
gene-col25a1.2|col25a1.2,0,0,0,0,0,0
gene-cxxc4|cxxc4,9,10,12,15,11,22
gene-ube2d3|ube2d3,1412,1258,1068,1426,1165,1237
