gene_id,SRR6819016,SRR6819017,SRR6819018,SRR6819020,SRR6819021,SRR6819022
FUN_001995,50,48,77,53,50,63
FUN_002558,47,36,15,34,5,0
FUN_003557,303,298,744,442,748,558
FUN_004419,314,351,314,320,221,234
FUN_004906,550,523,940,781,907,882
FUN_005167,6,14,63,43,38,45
FUN_005512,312,500,735,833,858,791
FUN_008645,22,6,25,24,30,33
FUN_005804,0,17,35,25,17,22
FUN_005890,233,247,463,319,450,403
FUN_006076,1844,2156,2395,2696,2191,2337
FUN_006771,591,497,812,550,876,743
FUN_006869,218,239,185,109,221,244
FUN_007146,27,11,26,15,26,20
FUN_007352,5,0,0,0,0,0
FUN_007573,361,635,1062,850,1131,948
FUN_008250,151,84,278,125,181,277
FUN_008023,811,890,1772,1045,1743,1389
FUN_024275,2,2,4,6,4,4
FUN_024070,230,321,887,383,841,718
FUN_024428,306,253,379,259,364,259
FUN_024567,715,738,1147,792,969,904
FUN_024618,2,3,2,1,1,2
FUN_024626,53,129,158,115,97,123
FUN_024778,0,22,59,38,41,54
FUN_024835,36,66,135,121,130,119
FUN_024910,204,310,627,468,609,551
FUN_025111,0,0,0,0,0,0
FUN_025144,36,37,48,26,21,27
FUN_025174,19,12,75,26,39,44
FUN_025293,64,45,96,47,67,85
FUN_011338,0,0,0,0,0,0
FUN_015344,0,0,15,7,11,10
FUN_015461,64,87,213,153,182,174
FUN_016861,0,7,5,4,0,0
FUN_017253,0,0,1,0,1,1
FUN_020015,0,4,90,8,18,13
FUN_021179,0,0,3,2,3,3
FUN_021220,0,5,2,1,3,0
FUN_021272,0,1,2,4,0,2
FUN_021295,0,0,2,2,2,0
FUN_021448,0,2,2,2,3,2
FUN_021465,0,0,2,0,0,4
FUN_021792,0,1,0,0,0,0
FUN_022217,0,0,0,0,0,0
FUN_022421,0,0,0,0,3,0
FUN_022990,38,19,72,41,29,48
FUN_023236,0,1,2,1,1,0
FUN_023383,1115,1035,2187,1601,2155,1805
FUN_009466,58,61,89,51,54,48
FUN_009781,22,38,49,21,24,25
FUN_009898,45,53,80,34,54,59
FUN_010445,5,5,9,7,9,0
FUN_010728,4,10,15,6,5,0
FUN_012103,19,9,45,21,28,30
FUN_012194,16,17,64,26,44,72
FUN_012795,257,228,279,194,306,237
FUN_012860,12,9,5,12,5,8
FUN_012913,26,23,30,11,16,11
FUN_013084,221,177,330,208,291,245
FUN_013223,64,65,60,60,89,75
FUN_013349,868,871,781,594,656,1008
FUN_013383,2252,2498,3057,2250,2715,3195
FUN_013542,9408,6862,7156,5208,6591,5029
FUN_015775,9,10,25,30,28,35
FUN_015794,142,147,363,234,264,253
FUN_015898,474,381,636,340,566,505
FUN_015970,209,214,390,265,427,329
FUN_016513,177,189,336,193,313,278
FUN_016628,160,182,302,241,304,219
FUN_016698,260,262,629,346,619,589
FUN_017086,8,0,7,10,4,3
FUN_017973,31,49,100,67,91,96
FUN_018071,47,102,219,138,257,157
FUN_018662,221,195,270,174,222,182
FUN_018755,148,193,344,235,306,246
FUN_018903,4769,4756,6010,5075,6017,5094
FUN_019174,199,225,577,277,513,454
FUN_019248,1082,1058,1726,1137,1646,1547
FUN_019333,521,505,604,496,616,521
FUN_019384,2929,2000,3928,2132,3103,2754
FUN_019401,2642,1948,1712,2025,1509,1398
FUN_019462,1430,1621,3780,2004,3941,2929
FUN_019752,455,338,703,480,883,741
FUN_020590,443,372,856,498,777,917
FUN_020675,323,432,969,714,1116,1357
FUN_020928,2272,2392,4003,2785,3508,3070
FUN_021615,135,123,200,165,196,106
FUN_021677,637,710,1389,834,1325,1136
FUN_022033,1,0,5,2,0,0
FUN_022472,22,13,67,18,31,26
FUN_022657,6,1,9,8,4,3
FUN_022825,6,29,8,4,10,9
FUN_023253,29,205,76,164,22,17
FUN_023335,115,277,119,143,26,37
FUN_023505,1,1,1,1,1,1
FUN_023511,1,1,1,1,1,1
FUN_023517,1,1,1,1,1,1
FUN_023524,1,1,1,1,1,1
FUN_023537,20,14,33,25,46,33
FUN_023573,8,4,21,12,17,13
FUN_023626,512,385,995,706,915,836
FUN_023803,5520,4990,8005,9835,7624,8159
FUN_025342,1701,1662,2146,1319,1864,1552
FUN_025391,10,192,11,16,0,5
FUN_025424,373,397,799,511,682,760
FUN_025514,551,410,448,336,500,410
FUN_025539,19,55,72,49,70,49
FUN_025791,0,2,0,0,2,2
FUN_025814,213,399,382,360,254,208
FUN_025862,254,252,512,300,535,463
FUN_030170,150,109,194,116,216,169
FUN_026086,96,65,531,150,399,302
FUN_026109,20,13,102,28,87,94
FUN_026176,362,276,2142,737,1590,1249
FUN_026339,2307,2551,7262,2898,12192,4686
FUN_026399,291,186,288,257,307,292
FUN_026421,1409,1370,2218,1213,1888,1798
FUN_026459,31,31,28,25,36,32
FUN_026480,35,67,50,47,45,41
FUN_026492,159,188,466,228,427,370
FUN_026522,526,582,774,544,773,674
FUN_026563,15,13,28,39,18,26
FUN_026655,75,55,101,77,88,67
FUN_026704,110,124,283,148,267,247
FUN_026990,19,48,114,76,63,60
FUN_026860,0,0,2,0,2,0
FUN_026820,443,343,721,418,438,465
FUN_026893,57,51,83,69,82,61
FUN_026958,27,63,93,75,94,87
FUN_026734,149,183,524,339,539,481
FUN_026750,5431,3888,5817,4582,5957,3821
FUN_026760,175,168,284,162,195,204
FUN_027149,15,31,138,48,74,49
FUN_027200,538,627,1594,600,919,775
FUN_027277,40,43,36,79,27,44
FUN_027293,37,31,103,25,129,121
FUN_027390,78,86,298,160,288,209
FUN_027510,205,187,221,150,211,164
FUN_027533,2104,1683,2237,1564,1949,1625
FUN_027751,0,0,20,4,0,0
FUN_027598,34,20,44,20,16,29
FUN_027854,417,270,563,213,315,388
FUN_027567,1922,1740,2917,1904,2887,2247
FUN_027871,1318,1001,1376,909,1449,1129
FUN_027893,46,45,93,45,97,69
FUN_027924,262,254,464,222,395,302
FUN_027962,37,65,215,128,232,135
FUN_027965,144,205,441,304,513,412
FUN_027968,574,539,831,531,785,620
FUN_027988,78,20,66,22,54,78
FUN_028034,260,238,449,243,503,354
FUN_028052,201,197,362,229,223,244
FUN_028113,979,760,1160,978,829,690
FUN_028167,521,645,1324,982,1246,1186
FUN_028214,695,516,1015,417,803,598
FUN_028231,1306,1117,3252,1420,2873,2378
FUN_028313,13,10,35,7,23,23
FUN_028294,322,252,419,329,374,353
FUN_028416,0,2,0,0,0,2
FUN_028379,8,19,35,35,41,47
FUN_028409,2,2,47,20,49,37
FUN_028423,8,12,14,22,22,15
FUN_028346,7572,5816,6695,5304,7035,4946
FUN_028351,167,199,501,231,442,299
FUN_028477,436,790,1940,1293,1879,1765
FUN_028538,663,645,1665,942,1445,1326
FUN_028584,1249,1060,3202,2228,3222,2757
FUN_030111,39,48,90,35,76,91
FUN_030113,676,714,1930,991,1821,1468
FUN_030119,30,20,27,28,26,23
FUN_030122,5,5,15,5,6,5
FUN_030117,0,0,19,0,16,22
FUN_030116,169,153,290,128,200,182
FUN_030123,90,80,217,60,147,139
FUN_030130,1060,331,15,269,0,4
FUN_030125,67,38,85,17,48,140
FUN_030128,1361,296,6309,197,5200,6219
FUN_030171,790,229,38,207,15,20
FUN_030134,778,175,1530,162,792,606
FUN_030135,886,116,2417,73,1376,1108
FUN_030136,8,12,2664,20,3087,3842
FUN_030137,1338,188,8326,142,7100,9401
FUN_030139,307,32,1437,0,1324,1629
FUN_030140,59,0,30,0,0,0
FUN_030141,72,31,25,36,8,22
FUN_030144,244,65,782,55,612,638
FUN_030158,2,0,0,0,0,0
FUN_030160,14,67,92,107,96,71
FUN_030161,196,372,524,595,492,439
FUN_030146,6,9,20,11,42,35
FUN_030148,535,459,794,538,793,740
FUN_030149,113,159,214,174,196,173
FUN_030150,101,115,152,109,168,128
FUN_030154,484,391,226,367,197,169
FUN_030162,558,314,1052,556,992,1051
FUN_030163,1695,1277,1999,1117,2058,1468
FUN_030166,119,89,194,122,175,124
FUN_030164,293,361,800,386,781,579
FUN_030165,433,343,906,445,929,822
FUN_030167,831,1012,1776,1152,2014,1716
FUN_030168,494,595,1600,636,2086,1265
FUN_030169,52,69,83,37,73,55
FUN_001613,37,45,115,94,137,115
FUN_001827,345,298,354,208,300,212
FUN_001957,1037,1060,3216,1612,3111,2436
FUN_002600,577,563,1206,658,1215,1073
FUN_028679,0,0,0,0,0,0
FUN_028703,0,0,2,0,0,0
FUN_028713,0,0,0,0,0,0
FUN_028864,0,0,0,0,0,0
FUN_028889,0,0,0,0,0,0
FUN_028899,0,0,0,0,0,0
FUN_028911,0,0,0,0,0,0
FUN_028925,0,0,0,3,0,0
FUN_028927,0,0,0,0,0,0
FUN_028932,0,2,0,0,0,2
FUN_028978,0,0,0,0,0,0
FUN_028985,0,0,0,0,0,0
FUN_029030,0,0,0,0,0,0
FUN_029053,0,0,0,0,0,0
FUN_029118,0,0,0,0,0,0
FUN_029177,0,0,0,0,0,0
FUN_029182,0,0,0,0,0,0
FUN_029188,0,0,2,3,0,1
FUN_029213,0,22,41,42,88,48
FUN_029222,0,2,0,2,0,1
FUN_029229,0,0,0,0,0,0
FUN_029283,0,0,0,0,0,0
FUN_029595,17,15,10,10,11,14
FUN_029606,0,0,0,0,0,0
FUN_029830,0,0,0,0,0,0
FUN_029835,0,0,0,0,0,0
FUN_029842,0,0,0,2,0,0
FUN_029846,0,0,2,0,0,0
FUN_029908,0,3,2,2,0,2
FUN_029921,0,0,3,0,4,2
FUN_029938,0,0,0,0,0,0
FUN_029943,0,0,0,0,0,0
FUN_029972,99,130,114,133,155,173
FUN_030011,0,0,0,0,0,0
FUN_030051,40,34,130,90,137,120
FUN_030056,0,0,0,0,0,0
FUN_030094,0,0,0,0,24,0
FUN_028718,30,29,65,66,64,42
FUN_028731,97,112,107,113,90,120
FUN_028742,800,722,991,804,924,826
FUN_028767,220,261,417,372,336,299
FUN_028786,287,234,490,224,453,334
FUN_028801,216,201,643,198,833,464
FUN_028815,2656,2538,3537,2207,3468,2705
FUN_028832,635,726,848,673,876,759
FUN_028933,206,214,177,224,95,112
FUN_028944,345,296,439,343,401,313
FUN_028953,1698,1770,2229,2409,1808,1453
FUN_028962,1152,811,1041,996,885,767
FUN_028988,452,398,525,399,578,483
FUN_029039,10,0,16,0,5,0
FUN_029065,3,3,9,4,9,15
FUN_029122,176,114,711,171,1183,704
FUN_029132,456,359,1400,554,2221,1399
FUN_029140,145,147,147,110,114,111
FUN_029155,1811,1706,1682,1525,1517,1214
FUN_029164,1183,1056,1945,1055,1919,1549
FUN_029296,2247,2200,3050,1826,3092,2532
FUN_029305,1120,1113,1926,987,1686,1437
FUN_029311,28445,19114,22016,16148,20161,16594
FUN_029314,30,35,107,36,91,75
FUN_029340,1677,2273,2556,2246,2999,2132
FUN_029357,435,370,466,377,384,517
FUN_029390,858,882,464,525,437,1101
FUN_029419,269,160,333,217,304,243
FUN_029430,457,716,854,858,1026,997
FUN_029456,320,208,241,294,205,207
FUN_029463,441,667,1582,816,1346,1258
FUN_029473,472,508,1072,625,785,707
FUN_029472,4,8,19,21,29,22
FUN_029480,574,669,904,540,647,618
FUN_029492,27,32,80,39,53,31
FUN_029496,14,43,66,50,59,34
FUN_029498,3,33,40,28,37,23
FUN_029503,72,52,123,62,101,137
FUN_029520,151,191,417,227,424,317
FUN_029530,212,129,283,194,290,242
FUN_029525,359,360,757,343,645,556
FUN_029569,11,19,27,18,28,32
FUN_029576,114,114,124,180,132,179
FUN_029588,89,78,99,72,54,68
FUN_029592,83,117,127,163,126,171
FUN_029640,230,331,598,366,347,378
FUN_029666,35,47,96,32,52,51
FUN_029678,24,51,107,88,87,119
FUN_029683,204,241,465,296,422,428
FUN_029694,644,574,894,674,903,811
FUN_029704,657,807,866,706,840,615
FUN_029706,399,321,631,289,511,412
FUN_029710,45,34,72,55,63,52
FUN_029737,1082,1054,2036,1010,2055,1466
FUN_029741,48,17,154,45,109,128
FUN_029744,13,8,16,13,6,14
FUN_029754,4376,5003,8157,5920,7049,6355
FUN_029761,1251,1072,1845,961,1824,1551
FUN_029765,111,217,305,150,267,228
FUN_029767,247,233,419,206,391,314
FUN_029769,908,849,1181,641,1026,735
FUN_029776,488,522,1215,628,1067,908
FUN_029783,6,2,4,3,3,3
FUN_029798,8,18,20,5,18,20
FUN_029802,6,10,29,18,22,17
FUN_029852,7,5,3,3,2,5
FUN_029857,389,315,346,328,230,269
FUN_029861,362,268,571,289,630,413
FUN_029865,95,56,139,58,100,81
FUN_029868,526,481,821,421,754,582
FUN_029869,202,134,206,174,167,192
FUN_029879,2695,3137,4107,2588,3497,3180
FUN_029882,1855,1905,3475,2312,3425,2942
FUN_029886,76,110,248,135,281,181
FUN_029898,179,229,486,264,534,389
FUN_029911,116,266,26522,536,24049,17781
FUN_029915,84,456,12,22,16,20
FUN_029924,169,84,36477,2465,30951,24304
FUN_029927,22,16,2562,17,2152,1814
FUN_029949,47,22,70,65,68,64
FUN_029964,23,34,30,27,46,37
FUN_029968,3,4,5,5,5,5
FUN_029971,2,7,7,17,21,19
FUN_029979,112,173,374,602,493,509
FUN_029986,41,131,191,269,232,254
FUN_029989,1133,1744,2432,2422,2267,2344
FUN_029999,752,630,1074,588,999,785
FUN_030000,497,559,1181,607,1100,922
FUN_030005,2061,2066,750,1323,534,2138
FUN_030014,620,858,108,566,109,102
FUN_030031,145,110,228,136,199,173
FUN_030036,1106,838,2038,1202,3302,2540
FUN_030040,48,32,58,52,38,33
FUN_030041,4,38,21,13,13,11
FUN_030042,199,596,345,256,168,152
FUN_030048,560,226,13765,9241,15090,12495
FUN_030057,391,57,4478,129,4432,5447
FUN_030058,490,147,3985,155,3070,3618
FUN_030061,1,0,1,1,1,1
FUN_030062,228,164,324,212,242,229
FUN_030064,297,45,115,24,443,175
FUN_030065,113,22,922,22,988,1302
FUN_030069,256,278,596,340,463,406
FUN_030070,414,353,526,456,474,399
FUN_030072,713,518,891,499,833,666
FUN_030073,257,283,628,436,619,575
FUN_030075,360,381,807,486,914,1323
FUN_030076,398,274,545,266,597,915
FUN_030079,1335,1318,2234,1328,2249,1542
FUN_030081,652,750,1710,1134,1967,1525
FUN_030088,493,312,692,440,700,520
FUN_030089,1724,1943,2664,2056,2653,2114
FUN_030092,2,4,13,13,14,9
FUN_030097,11,18,74,41,89,86
FUN_030099,132,161,430,257,358,343
FUN_030103,362,594,930,604,967,747
FUN_030107,688,858,1840,1040,1832,1435
FUN_003744,106,131,198,139,158,312
FUN_006633,0,0,0,0,0,0
FUN_004365,895,920,1692,930,1559,1319
FUN_002760,428,415,1023,668,995,705
FUN_002962,219,190,317,241,305,316
FUN_003112,1813,2008,2985,2324,3063,2601
FUN_008626,0,6,14,0,22,10
FUN_007762,36,26,52,31,47,39
FUN_008370,28,16,23,15,20,22
FUN_009327,97,52,107,101,78,86
FUN_030364,25,7,37,13,99,108
FUN_008736,2243,1694,3516,1722,3272,2547
FUN_008847,571,709,1383,815,1229,1035
FUN_009041,1731,1891,1513,1746,627,567
FUN_030365,7,8,11,5,17,10
FUN_009421,872,712,1985,1064,3074,2232
FUN_030366,276,0,35,0,14,52
FUN_011726,26,22,40,21,33,25
FUN_030367,847,416,1261,741,2607,1168
FUN_015602,0,9,7,9,0,16
FUN_015685,5,5,2,0,2,2
FUN_014345,0,4,16,11,21,14
FUN_014810,0,2,1,0,0,1
FUN_013470,46,37,59,22,51,34
FUN_013560,12,9,30,24,29,28
FUN_013607,1,4,4,8,5,6
FUN_013625,146,124,225,120,181,204
FUN_013640,345,263,524,246,382,355
FUN_014750,5,3,9,7,16,8
FUN_014921,26,18,39,20,42,25
FUN_015332,44,36,93,39,80,32
FUN_016056,7,0,11,18,10,0
FUN_016213,0,17,21,19,21,24
FUN_015770,238,174,299,148,286,224
FUN_015869,60,126,221,125,205,126
FUN_015902,20,61,142,81,118,86
FUN_015925,20,48,105,90,100,98
FUN_015972,279,228,1582,570,1954,1504
FUN_017382,0,0,11,6,15,11
FUN_016524,182,165,382,164,351,321
FUN_016678,468,392,775,439,655,616
FUN_017521,298,301,458,347,465,422
FUN_017672,2519,3294,3746,3472,3279,3534
FUN_018009,800,720,71,390,81,112
FUN_018094,2948,2435,3779,3085,3878,3610
FUN_018652,16,30,30,30,31,32
FUN_018672,35,24,36,19,33,27
FUN_019097,0,0,12,12,7,15
FUN_018749,0,0,0,0,0,0
FUN_018796,206,159,344,223,293,239
FUN_019320,703,726,1851,1169,1738,1486
FUN_019966,0,0,254,2203,1628,711
FUN_019906,26,32,0,135,97,44
FUN_019792,0,0,0,0,0,0
FUN_019636,886,976,1509,1013,1414,1037
FUN_020257,50,45,47,43,19,42
FUN_020339,395,432,812,480,840,673
FUN_020739,68,106,135,75,122,108
FUN_020383,12,68,118,149,244,120
FUN_020434,204,358,774,699,896,733
FUN_020592,105,105,184,91,131,134
FUN_018212,2289,2043,4402,3082,3499,2741
FUN_018574,58804,44224,49900,44070,49185,37166
FUN_021053,14,7,64,33,27,12
FUN_021110,124,187,302,170,267,280
FUN_021331,369,379,4607,1910,4587,4061
FUN_020940,108,182,259,229,173,319
FUN_021425,1021,1065,2250,1307,2032,1890
FUN_021607,16,31,22,30,58,24
FUN_021664,416,554,1036,810,1116,901
FUN_021779,245,248,385,260,419,330
FUN_021836,70,75,68,56,84,72
FUN_021882,1617,1101,2687,1342,2584,2237
FUN_021937,476,424,576,329,504,441
FUN_022873,7,18,55,23,51,90
FUN_023044,194,290,645,234,503,560
FUN_022093,189,210,227,119,205,191
FUN_022130,1419,1487,2532,1669,2609,2262
FUN_022205,1593,1663,3190,2023,2995,2314
FUN_023372,110,72,129,68,74,72
FUN_023412,335,238,775,276,1161,687
FUN_023472,392,518,1044,545,1237,618
FUN_023519,259,243,507,233,486,346
FUN_023581,34,54,115,49,96,96
FUN_023650,317,282,614,428,571,484
FUN_023694,173,179,331,195,327,262
FUN_024280,386,505,324,339,247,291
FUN_023999,89,91,236,137,92,134
FUN_024081,5985,5434,8734,4996,8532,6304
FUN_024123,821,617,1100,581,941,671
FUN_024147,396,346,525,491,517,421
FUN_024204,284,256,363,305,384,350
FUN_024747,14,29,31,21,35,43
FUN_024807,65,143,192,157,188,205
FUN_024959,1603,1285,1490,1577,1489,1600
FUN_024991,88,55,119,76,127,86
FUN_025085,182,162,302,173,237,272
FUN_025256,360,333,510,278,416,467
FUN_024387,90,131,133,104,138,138
FUN_024415,748,707,788,685,787,674
FUN_024467,406,408,3310,1828,3782,3625
FUN_024540,1127,963,2372,1666,2617,1992
