Gene stable ID,NCBI gene (formerly Entrezgene) ID,Gene stable ID,HGNC symbol
ENSXETG00000034365,3283493,ENSG00000198763,MT-ND2
ENSXETG00000034361,3283492,ENSG00000198888,MT-ND1
ENSXETG00000034371,3283494,ENSG00000198804,MT-CO1
ENSXETG00000034380,3283499,ENSG00000198840,MT-ND3
ENSXETG00000034387,3283502,ENSG00000198786,MT-ND5
ENSXETG00000034378,3283498,ENSG00000198938,MT-CO3
ENSXETG00000034374,3283495,ENSG00000198712,MT-CO2
ENSXETG00000034388,3283503,ENSG00000198695,MT-ND6
ENSXETG00000034377,3283497,ENSG00000198899,MT-ATP6
ENSXETG00000041416,116411325,ENSG00000278457,
ENSXETG00000041416,116411324,ENSG00000278457,
ENSXETG00000041416,116411323,ENSG00000278457,
ENSXETG00000041416,116411321,ENSG00000278457,
ENSXETG00000041416,116411322,ENSG00000278457,
ENSXETG00000041416,116411320,ENSG00000278457,
ENSXETG00000041416,116411319,ENSG00000278457,
ENSXETG00000041416,116411318,ENSG00000278457,
ENSXETG00000041416,116411317,ENSG00000278457,
ENSXETG00000041416,116411316,ENSG00000278457,
ENSXETG00000041416,116411315,ENSG00000278457,
ENSXETG00000041416,116411314,ENSG00000278457,
ENSXETG00000041416,116411313,ENSG00000278457,
ENSXETG00000041416,116411311,ENSG00000278457,
ENSXETG00000041416,116411312,ENSG00000278457,
ENSXETG00000041416,116411310,ENSG00000278457,
ENSXETG00000041416,116411309,ENSG00000278457,
ENSXETG00000041416,116411308,ENSG00000278457,
ENSXETG00000041416,116411307,ENSG00000278457,
ENSXETG00000041416,116411306,ENSG00000278457,
ENSXETG00000041416,116411304,ENSG00000278457,
ENSXETG00000041416,116411305,ENSG00000278457,
ENSXETG00000041416,116411303,ENSG00000278457,
ENSXETG00000041416,116411302,ENSG00000278457,
ENSXETG00000041416,116411301,ENSG00000278457,
ENSXETG00000041416,116411300,ENSG00000278457,
ENSXETG00000041416,116411299,ENSG00000278457,
ENSXETG00000041416,116411298,ENSG00000278457,
ENSXETG00000041416,116411297,ENSG00000278457,
ENSXETG00000041416,116411296,ENSG00000278457,
ENSXETG00000041416,116411295,ENSG00000278457,
ENSXETG00000041416,116411294,ENSG00000278457,
ENSXETG00000041416,116411291,ENSG00000278457,
ENSXETG00000041416,116411280,ENSG00000278457,
ENSXETG00000041416,116411269,ENSG00000278457,
ENSXETG00000041416,116411258,ENSG00000278457,
ENSXETG00000041416,116411252,ENSG00000278457,
ENSXETG00000041416,116411242,ENSG00000278457,
ENSXETG00000041416,116411236,ENSG00000278457,
ENSXETG00000041416,116411230,ENSG00000278457,
ENSXETG00000041416,116411219,ENSG00000278457,
ENSXETG00000041416,116411208,ENSG00000278457,
ENSXETG00000041416,116411197,ENSG00000278457,
ENSXETG00000041416,116411186,ENSG00000278457,
ENSXETG00000041416,116411175,ENSG00000278457,
ENSXETG00000041416,116411164,ENSG00000278457,
ENSXETG00000041416,116411154,ENSG00000278457,
ENSXETG00000041416,116411153,ENSG00000278457,
ENSXETG00000041416,116411152,ENSG00000278457,
ENSXETG00000041416,116411151,ENSG00000278457,
ENSXETG00000041416,116411150,ENSG00000278457,
ENSXETG00000041416,116411149,ENSG00000278457,
ENSXETG00000041416,116411148,ENSG00000278457,
ENSXETG00000041416,116411147,ENSG00000278457,
ENSXETG00000041416,116411146,ENSG00000278457,
ENSXETG00000041416,116411145,ENSG00000278457,
ENSXETG00000041416,116411144,ENSG00000278457,
ENSXETG00000041416,116411142,ENSG00000278457,
ENSXETG00000041416,116411143,ENSG00000278457,
ENSXETG00000041416,116411141,ENSG00000278457,
ENSXETG00000041416,116411140,ENSG00000278457,
ENSXETG00000041416,116411139,ENSG00000278457,
ENSXETG00000041416,116411138,ENSG00000278457,
ENSXETG00000041416,116411136,ENSG00000278457,
ENSXETG00000041416,116411137,ENSG00000278457,
ENSXETG00000041416,116411135,ENSG00000278457,
ENSXETG00000041416,116411134,ENSG00000278457,
ENSXETG00000041416,116411133,ENSG00000278457,
ENSXETG00000041416,116411132,ENSG00000278457,
ENSXETG00000041416,116411130,ENSG00000278457,
ENSXETG00000041416,116411131,ENSG00000278457,
ENSXETG00000041416,116411129,ENSG00000278457,
ENSXETG00000041416,116411128,ENSG00000278457,
ENSXETG00000041416,116411127,ENSG00000278457,
ENSXETG00000041416,116411126,ENSG00000278457,
ENSXETG00000041416,116411125,ENSG00000278457,
ENSXETG00000041416,116408945,ENSG00000278457,
ENSXETG00000041453,116411325,ENSG00000278457,
ENSXETG00000041453,116411324,ENSG00000278457,
ENSXETG00000041453,116411323,ENSG00000278457,
ENSXETG00000041453,116411321,ENSG00000278457,
ENSXETG00000041453,116411322,ENSG00000278457,
ENSXETG00000041453,116411320,ENSG00000278457,
ENSXETG00000041453,116411319,ENSG00000278457,
ENSXETG00000041453,116411318,ENSG00000278457,
ENSXETG00000041453,116411317,ENSG00000278457,
ENSXETG00000041453,116411316,ENSG00000278457,
ENSXETG00000041453,116411315,ENSG00000278457,
ENSXETG00000041453,116411314,ENSG00000278457,
ENSXETG00000041453,116411313,ENSG00000278457,
ENSXETG00000041453,116411311,ENSG00000278457,
ENSXETG00000041453,116411312,ENSG00000278457,
ENSXETG00000041453,116411310,ENSG00000278457,
ENSXETG00000041453,116411309,ENSG00000278457,
ENSXETG00000041453,116411308,ENSG00000278457,
ENSXETG00000041453,116411307,ENSG00000278457,
ENSXETG00000041453,116411306,ENSG00000278457,
ENSXETG00000041453,116411304,ENSG00000278457,
ENSXETG00000041453,116411305,ENSG00000278457,
ENSXETG00000041453,116411303,ENSG00000278457,
ENSXETG00000041453,116411302,ENSG00000278457,
ENSXETG00000041453,116411301,ENSG00000278457,
ENSXETG00000041453,116411300,ENSG00000278457,
ENSXETG00000041453,116411299,ENSG00000278457,
ENSXETG00000041453,116411298,ENSG00000278457,
ENSXETG00000041453,116411297,ENSG00000278457,
